<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
US1.EMC,1,01/09/16,09:30,28.8900000,28.9200000,28.8900000,28.9200000
US1.EMC,1,01/09/16,09:31,28.9300000,28.9300000,28.9200000,28.9300000
US1.EMC,1,01/09/16,09:32,28.9300000,28.9300000,28.9200000,28.9200000
US1.EMC,1,01/09/16,09:33,28.9200000,28.9300000,28.9200000,28.9300000
US1.EMC,1,01/09/16,09:34,28.9300000,28.9400000,28.9300000,28.9350000
US1.EMC,1,01/09/16,09:35,28.9400000,28.9500000,28.9350000,28.9500000
US1.EMC,1,01/09/16,09:36,28.9400000,28.9400000,28.9200000,28.9300000
US1.EMC,1,01/09/16,09:37,28.9400000,28.9500000,28.9400000,28.9400000
US1.EMC,1,01/09/16,09:38,28.9350000,28.9350000,28.9350000,28.9350000
US1.EMC,1,01/09/16,09:39,28.9300000,28.9350000,28.9300000,28.9350000
US1.EMC,1,01/09/16,09:40,28.9300000,28.9300000,28.9300000,28.9300000
US1.EMC,1,01/09/16,09:41,28.9300000,28.9300000,28.9200000,28.9200000
US1.EMC,1,01/09/16,09:42,28.9300000,28.9300000,28.9200000,28.9300000
US1.EMC,1,01/09/16,09:43,28.9300000,28.9300000,28.9250000,28.9250000
US1.EMC,1,01/09/16,09:44,28.9200000,28.9250000,28.9000000,28.9250000
US1.EMC,1,01/09/16,09:45,28.9300000,28.9350000,28.9300000,28.9350000
US1.EMC,1,01/09/16,09:46,28.9350000,28.9400000,28.9350000,28.9400000
US1.EMC,1,01/09/16,09:48,28.9400000,28.9400000,28.9300000,28.9300000
US1.EMC,1,01/09/16,09:49,28.9400000,28.9500000,28.9400000,28.9500000
US1.EMC,1,01/09/16,09:50,28.9400000,28.9400000,28.9300000,28.9300000
US1.EMC,1,01/09/16,09:51,28.9300000,28.9300000,28.9200000,28.9300000
US1.EMC,1,01/09/16,09:52,28.9300000,28.9300000,28.9300000,28.9300000
US1.EMC,1,01/09/16,09:53,28.9300000,28.9300000,28.9300000,28.9300000
US1.EMC,1,01/09/16,09:54,28.9250000,28.9250000,28.9250000,28.9250000
US1.EMC,1,01/09/16,09:55,28.9250000,28.9250000,28.9200000,28.9250000
US1.EMC,1,01/09/16,09:56,28.9200000,28.9200000,28.9200000,28.9200000
US1.EMC,1,01/09/16,09:57,28.9200000,28.9200000,28.9200000,28.9200000
US1.EMC,1,01/09/16,09:58,28.9250000,28.9250000,28.9250000,28.9250000
US1.EMC,1,01/09/16,09:59,28.9200000,28.9300000,28.9200000,28.9300000
US1.EMC,1,01/09/16,10:00,28.9250000,28.9300000,28.9150000,28.9250000
US1.EMC,1,01/09/16,10:01,28.9200000,28.9300000,28.9200000,28.9250000
US1.EMC,1,01/09/16,10:02,28.9250000,28.9300000,28.9200000,28.9300000
US1.EMC,1,01/09/16,10:03,28.9350000,28.9350000,28.9350000,28.9350000
US1.EMC,1,01/09/16,10:04,28.9300000,28.9350000,28.9300000,28.9350000
US1.EMC,1,01/09/16,10:05,28.9300000,28.9300000,28.9300000,28.9300000
US1.EMC,1,01/09/16,10:07,28.9300000,28.9350000,28.9300000,28.9350000
US1.EMC,1,01/09/16,10:08,28.9350000,28.9400000,28.9350000,28.9400000
US1.EMC,1,01/09/16,10:10,28.9350000,28.9350000,28.9300000,28.9300000
US1.EMC,1,01/09/16,10:15,28.9300000,28.9300000,28.9300000,28.9300000
US1.EMC,1,01/09/16,10:16,28.9300000,28.9300000,28.9300000,28.9300000
US1.EMC,1,01/09/16,10:17,28.9300000,28.9400000,28.9200000,28.9400000
US1.EMC,1,01/09/16,10:18,28.9300000,28.9300000,28.9200000,28.9200000
US1.EMC,1,01/09/16,10:19,28.9200000,28.9200000,28.9200000,28.9200000
US1.EMC,1,01/09/16,10:20,28.9200000,28.9200000,28.9100000,28.9150000
US1.EMC,1,01/09/16,10:21,28.9150000,28.9150000,28.9100000,28.9100000
US1.EMC,1,01/09/16,10:22,28.9100000,28.9200000,28.9100000,28.9100000
US1.EMC,1,01/09/16,10:23,28.9100000,28.9100000,28.9000000,28.9100000
US1.EMC,1,01/09/16,10:24,28.9200000,28.9200000,28.9200000,28.9200000
US1.EMC,1,01/09/16,10:25,28.9250000,28.9250000,28.9000000,28.9050000
US1.EMC,1,01/09/16,10:26,28.9050000,28.9050000,28.9000000,28.9050000
US1.EMC,1,01/09/16,10:27,28.9050000,28.9100000,28.9050000,28.9050000
US1.EMC,1,01/09/16,10:28,28.9000000,28.9050000,28.8950000,28.9000000
US1.EMC,1,01/09/16,10:29,28.8900000,28.8900000,28.8700000,28.8700000
US1.EMC,1,01/09/16,10:30,28.8750000,28.8900000,28.8750000,28.8900000
US1.EMC,1,01/09/16,10:31,28.8850000,28.8850000,28.8750000,28.8750000
US1.EMC,1,01/09/16,10:32,28.8700000,28.8700000,28.8700000,28.8700000
US1.EMC,1,01/09/16,10:33,28.8650000,28.8650000,28.8650000,28.8650000
US1.EMC,1,01/09/16,10:34,28.8700000,28.8850000,28.8700000,28.8850000
US1.EMC,1,01/09/16,10:35,28.8900000,28.9000000,28.8900000,28.8950000
US1.EMC,1,01/09/16,10:36,28.8950000,28.9000000,28.8950000,28.9000000
US1.EMC,1,01/09/16,10:37,28.8950000,28.8950000,28.8950000,28.8950000
