<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
US2.GOOG,1,01/09/16,09:30,769.1400000,769.1400000,767.6800000,768.6200000
US2.GOOG,1,01/09/16,09:31,768.8600000,768.8700000,768.8000000,768.8100000
US2.GOOG,1,01/09/16,09:32,768.9800000,769.0100000,768.9800000,769.0100000
US2.GOOG,1,01/09/16,09:35,769.4500000,769.4500000,769.1600000,769.1600000
US2.GOOG,1,01/09/16,09:36,769.5800000,769.5800000,769.2300000,769.2300000
US2.GOOG,1,01/09/16,09:37,769.1100000,769.1100000,769.1000000,769.1000000
US2.GOOG,1,01/09/16,09:38,768.9400000,768.9400000,768.9400000,768.9400000
US2.GOOG,1,01/09/16,09:39,767.5100000,767.5100000,767.5100000,767.5100000
US2.GOOG,1,01/09/16,09:40,767.7300000,767.7700000,767.7300000,767.7700000
US2.GOOG,1,01/09/16,09:43,768.8200000,768.8200000,768.8100000,768.8100000
US2.GOOG,1,01/09/16,09:49,769.8200000,770.2900000,769.8200000,770.2100000
US2.GOOG,1,01/09/16,09:50,770.2400000,770.2800000,769.5900000,769.5900000
US2.GOOG,1,01/09/16,09:51,769.9400000,769.9400000,769.5700000,769.5700000
US2.GOOG,1,01/09/16,09:52,769.4900000,769.4900000,769.4900000,769.4900000
US2.GOOG,1,01/09/16,09:55,769.1400000,769.1400000,769.1400000,769.1400000
US2.GOOG,1,01/09/16,09:56,769.2100000,769.5600000,769.2100000,769.5600000
US2.GOOG,1,01/09/16,09:57,769.2500000,769.2500000,769.1200000,769.1200000
US2.GOOG,1,01/09/16,10:00,768.3200000,768.3200000,768.3200000,768.3200000
US2.GOOG,1,01/09/16,10:03,768.5000000,768.5000000,768.5000000,768.5000000
US2.GOOG,1,01/09/16,10:05,769.2100000,769.2100000,769.2100000,769.2100000
US2.GOOG,1,01/09/16,10:06,768.8100000,769.1600000,768.6600000,769.1600000
US2.GOOG,1,01/09/16,10:08,769.6000000,769.6000000,769.3400000,769.3400000
US2.GOOG,1,01/09/16,10:10,769.5400000,769.6600000,769.5200000,769.6600000
US2.GOOG,1,01/09/16,10:11,769.3600000,769.3600000,769.0900000,769.2800000
US2.GOOG,1,01/09/16,10:12,768.9600000,768.9600000,768.8700000,768.8700000
US2.GOOG,1,01/09/16,10:14,768.9900000,768.9900000,768.9900000,768.9900000
US2.GOOG,1,01/09/16,10:18,768.1400000,768.1400000,768.0000000,768.0100000
US2.GOOG,1,01/09/16,10:19,767.7600000,767.7600000,767.7600000,767.7600000
US2.GOOG,1,01/09/16,10:20,767.7000000,767.7000000,766.9000000,766.9000000
US2.GOOG,1,01/09/16,10:23,766.9700000,766.9900000,766.9700000,766.9900000
US2.GOOG,1,01/09/16,10:25,767.1400000,767.1400000,767.0100000,767.0100000
US2.GOOG,1,01/09/16,10:26,766.7600000,766.7600000,766.7600000,766.7600000
US2.GOOG,1,01/09/16,10:27,766.8500000,766.8500000,766.8500000,766.8500000
US2.GOOG,1,01/09/16,10:28,766.6100000,766.6100000,766.6100000,766.6100000
US2.GOOG,1,01/09/16,10:29,766.6600000,766.6600000,766.2400000,766.2400000
US2.GOOG,1,01/09/16,10:30,765.3650000,765.3650000,765.0100000,765.0100000
US2.GOOG,1,01/09/16,10:31,764.6900000,765.0600000,764.6900000,765.0600000
US2.GOOG,1,01/09/16,10:32,765.0000000,765.0000000,765.0000000,765.0000000
US2.GOOG,1,01/09/16,10:33,764.9400000,764.9400000,764.3000000,764.3000000
US2.GOOG,1,01/09/16,10:37,765.6400000,765.6600000,765.6400000,765.6600000
US2.GOOG,1,01/09/16,10:39,765.2900000,765.2900000,765.2900000,765.2900000
US2.GOOG,1,01/09/16,10:41,765.5200000,765.5200000,765.3100000,765.3100000
US2.GOOG,1,01/09/16,10:42,766.0600000,766.0700000,766.0600000,766.0700000
US2.GOOG,1,01/09/16,10:49,766.0000000,766.0000000,766.0000000,766.0000000
US2.GOOG,1,01/09/16,10:50,766.0350000,766.0350000,766.0350000,766.0350000
US2.GOOG,1,01/09/16,10:54,765.9200000,765.9200000,765.9200000,765.9200000
US2.GOOG,1,01/09/16,10:59,765.9400000,765.9400000,765.9400000,765.9400000
US2.GOOG,1,01/09/16,11:00,765.8500000,765.8500000,765.8500000,765.8500000
US2.GOOG,1,01/09/16,11:02,764.9400000,765.1550000,764.9400000,765.1550000
US2.GOOG,1,01/09/16,11:05,765.3000000,765.3000000,765.3000000,765.3000000
US2.GOOG,1,01/09/16,11:06,765.3000000,765.3000000,765.2000000,765.2000000
US2.GOOG,1,01/09/16,11:08,764.8650000,764.8650000,764.8650000,764.8650000
US2.GOOG,1,01/09/16,11:09,764.7900000,764.7900000,764.7900000,764.7900000
US2.GOOG,1,01/09/16,11:10,764.7300000,764.7300000,764.7300000,764.7300000
US2.GOOG,1,01/09/16,11:11,764.7500000,764.7500000,764.7500000,764.7500000
US2.GOOG,1,01/09/16,11:12,764.9400000,764.9800000,764.9400000,764.9800000
US2.GOOG,1,01/09/16,11:13,764.9600000,764.9600000,764.9600000,764.9600000
US2.GOOG,1,01/09/16,11:14,765.1000000,765.1000000,765.1000000,765.1000000
US2.GOOG,1,01/09/16,11:18,765.2350000,765.4000000,765.2350000,765.4000000
US2.GOOG,1,01/09/16,11:25,765.7900000,765.7900000,765.7500000,765.7500000
US2.GOOG,1,01/09/16,11:27,765.6300000,765.6300000,765.6300000,765.6300000
US2.GOOG,1,01/09/16,11:29,765.9600000,765.9600000,765.9600000,765.9600000
US2.GOOG,1,01/09/16,11:30,766.1000000,766.1000000,766.1000000,766.1000000
US2.GOOG,1,01/09/16,11:32,765.8200000,765.8200000,765.8200000,765.8200000
US2.GOOG,1,01/09/16,11:40,765.9500000,765.9500000,765.9500000,765.9500000
US2.GOOG,1,01/09/16,11:45,765.8800000,765.8800000,765.8800000,765.8800000
US2.GOOG,1,01/09/16,11:50,765.7400000,765.7400000,765.5300000,765.5300000
US2.GOOG,1,01/09/16,11:58,766.0200000,766.0200000,766.0200000,766.0200000
US2.GOOG,1,01/09/16,12:02,766.1200000,766.1200000,766.1200000,766.1200000
US2.GOOG,1,01/09/16,12:05,766.3900000,766.3900000,766.3600000,766.3600000
US2.GOOG,1,01/09/16,12:10,766.0000000,766.0000000,766.0000000,766.0000000
US2.GOOG,1,01/09/16,12:14,766.5200000,766.5600000,766.5200000,766.5600000
US2.GOOG,1,01/09/16,12:16,767.3400000,767.5300000,767.3100000,767.5300000
US2.GOOG,1,01/09/16,12:18,767.8600000,767.8600000,767.7100000,767.7100000
US2.GOOG,1,01/09/16,12:24,769.2200000,769.2300000,768.9000000,768.9000000
US2.GOOG,1,01/09/16,12:25,769.1200000,769.1200000,768.8250000,768.9900000
US2.GOOG,1,01/09/16,12:26,768.9900000,769.0000000,768.9900000,769.0000000
US2.GOOG,1,01/09/16,12:28,769.1000000,769.1000000,769.1000000,769.1000000
US2.GOOG,1,01/09/16,12:29,768.9250000,768.9250000,768.9250000,768.9250000
US2.GOOG,1,01/09/16,12:31,769.0900000,769.0900000,769.0900000,769.0900000
US2.GOOG,1,01/09/16,12:32,769.9900000,769.9900000,769.9900000,769.9900000
US2.GOOG,1,01/09/16,12:35,769.7350000,769.7350000,769.7350000,769.7350000
US2.GOOG,1,01/09/16,12:38,769.1900000,769.2900000,769.1900000,769.2900000
US2.GOOG,1,01/09/16,12:41,768.6800000,768.6800000,768.6800000,768.6800000
US2.GOOG,1,01/09/16,12:42,768.8200000,768.8200000,768.8200000,768.8200000
US2.GOOG,1,01/09/16,12:44,768.7900000,768.7900000,768.7900000,768.7900000
US2.GOOG,1,01/09/16,12:45,769.0400000,769.0400000,769.0400000,769.0400000
US2.GOOG,1,01/09/16,12:47,769.1200000,769.1200000,769.1200000,769.1200000
US2.GOOG,1,01/09/16,12:50,769.5800000,769.7600000,769.5800000,769.7600000
US2.GOOG,1,01/09/16,12:51,769.9400000,769.9400000,769.8300000,769.8400000
US2.GOOG,1,01/09/16,12:52,770.0100000,770.0100000,770.0000000,770.0000000
US2.GOOG,1,01/09/16,12:58,769.5300000,769.5300000,769.5200000,769.5200000
US2.GOOG,1,01/09/16,13:03,769.6000000,769.6000000,769.6000000,769.6000000
