"Date"	"Value"	"Stock_Value"	"Capital_Value"	"Stock_ratio"
"1"	2016-08-31 15:59:00	10000	0	10000	0
"2"	2017-08-31 14:08:00	10000	0	10000	0
"3"	2017-08-31 14:09:00	10000	0	10000	0
"4"	2017-08-31 14:10:00	10000	0	10000	0
"5"	2017-08-31 14:11:00	10000	0	10000	0
"6"	2017-08-31 14:12:00	10000	0	10000	0
"7"	2017-08-31 14:13:00	10000	0	10000	0
"8"	2017-08-31 14:14:00	10000	0	10000	0
"9"	2017-08-31 14:15:00	10000	0	10000	0
"10"	2017-08-31 14:16:00	10000	0	10000	0
"11"	2017-08-31 14:16:00	10000	0	10000	0
"12"	2017-08-31 14:18:00	10000	0	10000	0
"13"	2017-08-31 14:19:00	10000	0	10000	0
"14"	2017-08-31 14:20:00	10000	0	10000	0
"15"	2017-08-31 14:21:00	10000	0	10000	0
"16"	2017-08-31 14:22:00	10000	0	10000	0
"17"	2017-08-31 14:23:00	10000	0	10000	0
"18"	2017-08-31 14:24:00	10000	0	10000	0
"19"	2017-08-31 14:25:00	10000	0	10000	0
"20"	2017-08-31 14:26:00	10000	0	10000	0
"21"	2017-08-31 14:27:00	10000	0	10000	0
"22"	2017-08-31 14:28:00	10000	0	10000	0
"23"	2017-08-31 14:29:00	10000	0	10000	0
"24"	2017-08-31 14:30:00	10000	0	10000	0
"25"	2017-08-31 14:31:00	10000	0	10000	0
"26"	2017-08-31 14:32:00	10000	0	10000	0
"27"	2017-08-31 14:33:00	10000	0	10000	0
"28"	2017-08-31 14:34:00	10000	0	10000	0
"29"	2017-08-31 14:35:00	10000	0	10000	0
"30"	2017-08-31 14:36:00	10000	0	10000	0
"31"	2017-08-31 14:37:00	10000	0	10000	0
"32"	2017-08-31 14:38:00	10000	0	10000	0
"33"	2017-08-31 14:39:00	10000	0	10000	0
"34"	2017-08-31 14:40:00	10000	0	10000	0
"35"	2017-08-31 14:40:00	10000	0	10000	0
"36"	2017-08-31 14:42:00	10000	0	10000	0
"37"	2017-08-31 14:43:00	10000	0	10000	0
"38"	2017-08-31 14:44:00	10000	0	10000	0
"39"	2017-08-31 14:45:00	10000	0	10000	0
"40"	2017-08-31 14:46:00	10000	0	10000	0
"41"	2017-08-31 14:47:00	10000	0	10000	0
"42"	2017-08-31 14:48:00	10000	0	10000	0
"43"	2017-08-31 14:49:00	10000	0	10000	0
"44"	2017-08-31 14:50:00	10000	0	10000	0
"45"	2017-08-31 14:51:00	10000	0	10000	0
"46"	2017-08-31 14:52:00	10000	0	10000	0
"47"	2017-08-31 14:53:00	10000	0	10000	0
"48"	2017-08-31 14:54:00	10000	0	10000	0
"49"	2017-08-31 14:55:00	10000	0	10000	0
"50"	2017-08-31 14:56:00	10000	0	10000	0
"51"	2017-08-31 14:57:00	10000	0	10000	0
"52"	2017-08-31 14:58:00	10000	0	10000	0
"53"	2017-08-31 14:59:00	10000	0	10000	0
"54"	2017-08-31 15:00:00	10000	0	10000	0
"55"	2017-08-31 15:01:00	10000	0	10000	0
"56"	2017-08-31 15:02:00	10000	0	10000	0
"57"	2017-08-31 15:03:00	10000	0	10000	0
"58"	2017-08-31 15:03:00	10000	0	10000	0
"59"	2017-08-31 15:05:00	10000	0	10000	0
"60"	2017-08-31 15:06:00	10000	0	10000	0
"61"	2017-08-31 15:07:00	10000	0	10000	0
"62"	2017-08-31 15:08:00	10000	0	10000	0
"63"	2017-08-31 15:09:00	10000	0	10000	0
"64"	2017-08-31 15:10:00	10000	0	10000	0
"65"	2017-08-31 15:11:00	10000	0	10000	0
"66"	2017-08-31 15:12:00	10000	0	10000	0
"67"	2017-08-31 15:13:00	10000	0	10000	0
"68"	2017-08-31 15:14:00	10000	0	10000	0
"69"	2017-08-31 15:15:00	10000	0	10000	0
"70"	2017-08-31 15:16:00	10000	0	10000	0
"71"	2017-08-31 15:16:00	10000	0	10000	0
"72"	2017-08-31 15:18:00	10000	0	10000	0
"73"	2017-08-31 15:19:00	10000	0	10000	0
"74"	2017-08-31 15:20:00	10000	0	10000	0
"75"	2017-08-31 15:21:00	10000	0	10000	0
"76"	2017-08-31 15:22:00	10000	0	10000	0
"77"	2017-08-31 15:23:00	10000	0	10000	0
"78"	2017-08-31 15:24:00	10000	0	10000	0
"79"	2017-08-31 15:25:00	10000	0	10000	0
"80"	2017-08-31 15:26:00	10000	0	10000	0
"81"	2017-08-31 15:27:00	10000	0	10000	0
"82"	2017-08-31 15:28:00	10000	0	10000	0
"83"	2017-08-31 15:29:00	10000	0	10000	0
"84"	2017-08-31 15:30:00	10000	0	10000	0
"85"	2017-08-31 15:31:00	10000	0	10000	0
"86"	2017-08-31 15:32:00	10000	0	10000	0
"87"	2017-08-31 15:33:00	10000	0	10000	0
"88"	2017-08-31 15:34:00	10000	0	10000	0
"89"	2017-08-31 15:35:00	10000	0	10000	0
"90"	2017-08-31 15:36:00	10000	0	10000	0
"91"	2017-08-31 15:37:00	10000	0	10000	0
"92"	2017-08-31 15:38:00	10000	0	10000	0
